Date,Clicks,Impressions,CTR,Position
2026-05-21,6,77,7.79%,7.7
2026-05-22,1,53,1.89%,5.7
2026-05-23,0,44,0%,7.3
2026-05-24,0,56,0%,7.2
2026-05-25,1,47,2.13%,6.8
2026-05-26,2,52,3.85%,6.9
2026-05-27,2,45,4.44%,5.6
2026-05-28,1,55,1.82%,6.7
2026-05-29,7,165,4.24%,7.4
2026-05-30,6,298,2.01%,8.4
2026-05-31,9,381,2.36%,8.3
2026-06-01,8,217,3.69%,7.7
2026-06-02,4,174,2.3%,8.5
2026-06-03,6,139,4.32%,7.3
2026-06-04,2,133,1.5%,8.4
2026-06-05,9,134,6.72%,7.1
2026-06-06,2,112,1.79%,8.5
2026-06-07,4,141,2.84%,7.9
2026-06-08,5,173,2.89%,7.6
2026-06-09,3,123,2.44%,8.2
2026-06-10,6,210,2.86%,7.8
2026-06-11,11,259,4.25%,7.7
2026-06-12,16,244,6.56%,7.8
2026-06-13,7,176,3.98%,7.5
2026-06-14,12,169,7.1%,7.6
2026-06-15,6,152,3.95%,6.8
2026-06-16,16,187,8.56%,8.9
2026-06-17,14,201,6.97%,7.4
2026-06-18,10,225,4.44%,7.6
2026-06-19,12,191,6.28%,7.8
2026-06-20,3,118,2.54%,7.8
2026-06-21,19,313,6.07%,6.9
2026-06-22,14,401,3.49%,10.4
2026-06-23,12,389,3.08%,7.3
2026-06-24,4,294,1.36%,7.6
2026-06-25,12,341,3.52%,6.9
2026-06-26,14,603,2.32%,7
2026-06-27,14,443,3.16%,7.3
2026-06-28,13,433,3%,7
2026-06-29,8,421,1.9%,7.4
2026-06-30,18,485,3.71%,7.6
2026-07-01,24,636,3.77%,7.1
2026-07-02,24,527,4.55%,7.6
2026-07-03,24,818,2.93%,7.4
2026-07-04,22,679,3.24%,7.6
2026-07-05,82,1066,7.69%,6.4
2026-07-06,51,913,5.59%,6.5
2026-07-07,45,719,6.26%,6.3
2026-07-08,22,630,3.49%,6.5
2026-07-09,30,575,5.22%,7
2026-07-10,44,748,5.88%,6.8
2026-07-11,40,740,5.41%,7.3
2026-07-12,62,867,7.15%,6.5
2026-07-13,69,981,7.03%,6.5
2026-07-14,51,849,6.01%,6.5
2026-07-15,75,896,8.37%,6.2
2026-07-16,58,829,7%,5.9
2026-07-17,94,965,9.74%,6
2026-07-18,84,1081,7.77%,5.9
2026-07-19,69,897,7.69%,6.4
2026-07-20,65,1002,6.49%,6
2026-07-21,65,1595,4.08%,6.1
2026-07-22,72,1118,6.44%,5.9
2026-07-23,87,1086,8.01%,5.9
2026-07-24,106,1212,8.75%,5.4
2026-07-25,69,925,7.46%,5.8
2026-07-26,65,884,7.35%,5.8
2026-07-27,58,722,8.03%,6.3
2026-07-28,65,843,7.71%,6
2026-07-29,58,736,7.88%,6.3
2026-07-30,49,747,6.56%,6.4
2026-07-31,79,1042,7.58%,5.8
2026-08-01,65,1025,6.34%,6.4
2026-08-02,109,1116,9.77%,5.9
2026-08-03,116,1102,10.53%,5.7
2026-08-04,115,1472,7.81%,5.8
2026-08-05,76,1112,6.83%,5.6
2026-08-06,75,983,7.63%,5.6
2026-08-07,74,876,8.45%,6
2026-08-08,69,821,8.4%,5.7
2026-08-09,54,801,6.74%,6.4
2026-08-10,53,760,6.97%,6.6
2026-08-11,73,824,8.86%,6.4
2026-08-12,76,815,9.33%,6.1
2026-08-13,78,790,9.87%,5.9
2026-08-14,112,1432,7.82%,5.6
2026-08-15,148,1299,11.39%,5.9
2026-08-16,125,1192,10.49%,5.6
2026-08-17,204,2038,10.01%,5.3
2026-08-18,272,2517,10.81%,5.3
2026-08-19,219,1712,12.79%,5
2026-08-20,192,1481,12.96%,5.1
