Country,Clicks,Impressions,CTR,Position
Moldova,0,18,0%,4.56
Slovenia,0,18,0%,6.72
Honduras,0,17,0%,7.24
Estonia,0,17,0%,7.65
Bolivia,0,16,0%,6.94
Laos,0,15,0%,5.67
El Salvador,0,14,0%,6.21
Ghana,0,13,0%,5.85
Kuwait,0,13,0%,8.38
Bosnia & Herzegovina,0,12,0%,4.67
Paraguay,0,9,0%,10.44
Libya,0,8,0%,4.75
Barbados,0,8,0%,6.12
Ethiopia,0,7,0%,5.29
Guyana,0,7,0%,6.29
Cuba,0,7,0%,7.71
Côte d’Ivoire,0,7,0%,9.14
Sint Maarten,0,6,0%,2.5
Northern Mariana Islands,0,6,0%,3.83
Zambia,0,5,0%,2.8
Guernsey,0,5,0%,4.2
Mozambique,0,5,0%,4.2
Guam,0,5,0%,6.2
Zimbabwe,0,3,0%,4.33
Congo - Brazzaville,0,3,0%,5.67
Gibraltar,0,3,0%,6.67
Botswana,0,3,0%,7
Réunion,0,3,0%,8
French Polynesia,0,3,0%,8.33
Benin,0,2,0%,2
U.S. Virgin Islands,0,2,0%,2.5
New Caledonia,0,2,0%,6
Guadeloupe,0,2,0%,7
Gambia,0,2,0%,7
Bermuda,0,2,0%,7.5
Cape Verde,0,2,0%,7.5
Antigua & Barbuda,0,2,0%,8
Tanzania,0,2,0%,8
Macau,0,2,0%,9
Samoa,0,2,0%,9
St. Martin,0,2,0%,10
American Samoa,0,1,0%,1
French Guiana,0,1,0%,1
Togo,0,1,0%,1
Liberia,0,1,0%,2
Sudan,0,1,0%,2
British Virgin Islands,0,1,0%,3
Faroe Islands,0,1,0%,4
Mauritania,0,1,0%,4
Turkmenistan,0,1,0%,4
Malawi,0,1,0%,5
Seychelles,0,1,0%,5
Western Sahara,0,1,0%,6
Rwanda,0,1,0%,6
Aruba,0,1,0%,7
Angola,0,1,0%,7
Belize,0,1,0%,7
Maldives,0,1,0%,7
San Marino,0,1,0%,8
