Country,Clicks,Impressions,CTR,Position
United States,54,1983,2.72%,7.95
United Kingdom,12,478,2.51%,7.59
Canada,5,185,2.7%,7.16
Australia,5,108,4.63%,7.56
Brazil,5,88,5.68%,5.36
France,4,34,11.76%,6.71
Sweden,4,15,26.67%,6.13
India,3,51,5.88%,7.18
Russia,3,15,20%,8
Germany,2,74,2.7%,8.51
Philippines,2,53,3.77%,6.43
Italy,2,53,3.77%,8.28
Denmark,2,15,13.33%,5.27
Mexico,1,56,1.79%,7.7
Poland,1,31,3.23%,5.16
Ireland,1,30,3.33%,10.33
Vietnam,1,27,3.7%,5.37
New Zealand,1,24,4.17%,5.25
Indonesia,1,22,4.55%,7.45
Argentina,1,18,5.56%,7.94
Malaysia,1,14,7.14%,5.79
Lithuania,1,9,11.11%,4.44
Portugal,1,9,11.11%,10.22
Myanmar (Burma),1,6,16.67%,5.33
Puerto Rico,1,3,33.33%,4
Macedonia,1,2,50%,3.5
Congo - Kinshasa,1,1,100%,4
Palestine,1,1,100%,4
Netherlands,0,61,0%,7.25
Turkey,0,46,0%,6.13
Spain,0,19,0%,8.21
Belgium,0,16,0%,7.94
Israel,0,16,0%,8.75
Algeria,0,14,0%,5.14
China,0,14,0%,7.86
Thailand,0,13,0%,6
Japan,0,12,0%,6.83
Egypt,0,11,0%,6.73
Singapore,0,10,0%,6.4
Romania,0,9,0%,5
Serbia,0,9,0%,5.78
Ukraine,0,9,0%,8.22
Colombia,0,9,0%,8.78
Slovenia,0,8,0%,4.25
Hungary,0,8,0%,6.88
South Africa,0,8,0%,6.88
Switzerland,0,7,0%,3.43
South Korea,0,7,0%,6
United Arab Emirates,0,7,0%,7.57
Dominican Republic,0,7,0%,7.57
Norway,0,7,0%,8.71
Bangladesh,0,7,0%,11.43
Kazakhstan,0,6,0%,6
Hong Kong,0,6,0%,7.17
Iran,0,6,0%,15.33
Chile,0,5,0%,5.4
Tunisia,0,5,0%,5.6
Jordan,0,4,0%,7
Slovakia,0,4,0%,7.25
Georgia,0,4,0%,8
Qatar,0,3,0%,3.33
Czechia,0,3,0%,4.67
Jamaica,0,3,0%,5.67
Iraq,0,3,0%,6.33
Pakistan,0,3,0%,7.33
Greece,0,3,0%,9
Taiwan,0,3,0%,9.67
Paraguay,0,3,0%,11.33
Cambodia,0,3,0%,14.67
Saudi Arabia,0,3,0%,18.67
Peru,0,2,0%,1.5
Bahrain,0,2,0%,4.5
Ecuador,0,2,0%,5
Nepal,0,2,0%,5.5
Bolivia,0,2,0%,6
Austria,0,2,0%,7
Finland,0,2,0%,7
Lebanon,0,2,0%,7.5
Estonia,0,2,0%,8
Mauritius,0,2,0%,8
Morocco,0,2,0%,8.5
Suriname,0,2,0%,8.5
Cuba,0,2,0%,9.5
Uzbekistan,0,2,0%,9.5
Mongolia,0,2,0%,10
Bahamas,0,1,0%,1
Croatia,0,1,0%,1
Montenegro,0,1,0%,1
Benin,0,1,0%,2
Venezuela,0,1,0%,2
Afghanistan,0,1,0%,3
Cyprus,0,1,0%,3
Kuwait,0,1,0%,4
Swaziland,0,1,0%,4
Guatemala,0,1,0%,5
Latvia,0,1,0%,5
Gambia,0,1,0%,6
Nicaragua,0,1,0%,6
Ghana,0,1,0%,7
Trinidad & Tobago,0,1,0%,7
Cape Verde,0,1,0%,8
Ethiopia,0,1,0%,8
Namibia,0,1,0%,8
Belarus,0,1,0%,10
Brunei,0,1,0%,10
El Salvador,0,1,0%,10
Azerbaijan,0,1,0%,15
